surface_type,collision_type,severity,surface_condition,num_driver_casualties,lon,traffic_control,num_vehicles,num_passenger_casualties,num_pedestrian_casualties,record_date,lat,main_cause
Concrete,Right angle,Injury,Dry,1,125.6550379223286,None,2,0,0,06/23/18,7.117457622918965,Human error
Asphalt,Right angle,Property,Dry,0,120.66329811027552,Centerline,2,0,0,06/23/18,15.05146258923684,Human error
Asphalt,Side swipe,Injury,Dry,1,123.71005120901386,Centerline,2,1,0,06/23/18,13.136421692453892,Human error
Asphalt,Side swipe,Injury,Dry,2,125.0133568466985,None,2,0,0,06/24/18,8.266624061502096,Human error
Concrete,Rear end,Injury,Dry,1,120.86698594818543,None,2,0,0,06/24/18,14.300944203492383,Human error
Concrete,Rear end,Property,Dry,0,120.92886441418983,None,2,0,0,06/24/18,14.446034377272154,Vehicle defect
Concrete,Rear end,Property,Dry,0,121.06507561261382,None,2,0,0,06/24/18,14.551698510020154,Human error
Concrete,Rear end,Injury,Dry,2,122.5246920516368,None,2,0,0,06/24/18,10.514128314719828,Human error
Concrete,Right angle,Fatal,Dry,2,123.77386401029169,Centerline,2,0,0,06/24/18,7.90595539221904,Human error
Concrete,Hit pedestrian,Property,Dry,0,120.56902022201648,None,1,0,0,06/24/18,18.08697339795816,Human error
Asphalt,Right angle,Injury,Dry,2,123.45653292848365,Centerline,2,0,0,06/24/18,13.58671745422266,Human error
Concrete,Side swipe,Property,Dry,0,121.05854305654088,None,2,0,0,06/24/18,14.604607124066474,Human error
Concrete,Rear end,Property,Dry,0,125.81397850837295,Pedestrian crossing,2,0,0,06/24/18,7.44900496049378,Human error
Concrete,Side swipe,Property,Dry,0,120.97272769372029,None,2,0,0,06/24/18,14.644763514648547,Human error
Concrete,Hit pedestrian,Injury,Dry,0,124.68383095159444,None,1,0,1,06/25/18,6.6922980362102935,Road defect
Concrete,Side swipe,Injury,Dry,1,123.15893724882596,None,2,0,0,06/25/18,9.704953749262238,Human error
Asphalt,Head on,Injury,Dry,1,120.97618029050327,Pedestrian crossing,3,0,0,06/25/18,14.470537988756496,Human error
Concrete,Side swipe,Property,Wet,0,125.6338598534426,None,2,0,0,06/25/18,7.082845507476888,Human error
Asphalt,Hit object off road,Property,Dry,0,120.9930356102757,None,1,0,0,06/25/18,14.706275789378054,Human error
Asphalt,Right angle,Property,Dry,0,120.97887612390295,None,2,0,0,06/25/18,14.474458909947135,Human error
Concrete,Hit pedestrian,Injury,Dry,1,123.43477697208647,None,1,0,1,06/25/18,13.579875153980145,Human error
Concrete,Hit parked vehicle,Property,Dry,0,120.99155345796618,None,2,0,0,06/25/18,14.707560610809937,Human error
Asphalt,Side swipe,Injury,Dry,1,123.2564179837453,None,2,1,0,06/25/18,13.596795748726429,Human error
Asphalt,Hit object in road,Injury,Wet,1,126.08019257869621,Centerline,1,4,0,06/25/18,7.855734557622594,Human error
Asphalt,Side swipe,Property,Dry,0,125.54424354396902,None,2,0,0,06/25/18,8.94933023027452,Human error
Concrete,Right angle,Injury,Dry,2,121.06722699979275,Centerline,3,13,0,06/26/18,14.321654638047077,Human error
Concrete,Side swipe,Property,Dry,0,120.9195819695384,Centerline,2,0,0,06/26/18,14.2899896533908,Human error
Asphalt,Right angle,Injury,Dry,2,123.27043927470035,None,2,2,0,06/26/18,13.552626629801534,Human error
Concrete,Rear end,Property,Dry,0,125.8043345918427,None,2,0,0,06/26/18,7.437626677286749,Human error
Concrete,Side swipe,Injury,Dry,1,120.87881311750188,Centerline,2,0,0,06/26/18,14.433679882040948,Human error
Concrete,Head on,Fatal,Dry,1,120.60296310194511,Traffic lights,2,0,0,06/26/18,15.606332756892712,Vehicle defect
Concrete,Rear end,Property,Dry,0,120.94974209972297,None,2,0,0,06/26/18,14.757302882101948,Human error
Concrete,Right angle,Injury,Dry,2,124.4746768132812,None,2,4,0,06/26/18,10.050115409017943,Human error
Concrete,Head on,Injury,Dry,1,124.79592653533011,None,2,0,0,06/26/18,8.728138477260291,Human error
Concrete,Side swipe,Injury,Dry,1,124.0266161672006,Centerline,2,0,0,06/26/18,8.190474861367315,Human error
Concrete,Right angle,Injury,Wet,2,124.85686625685881,None,2,0,0,06/27/18,8.606576285831576,Human error
Concrete,Side swipe,Property,Dry,0,120.94082610573686,None,2,0,0,06/27/18,14.772080693596573,Human error
Concrete,Hit pedestrian,Injury,Dry,1,124.5881837607843,None,1,1,1,06/27/18,8.504590233330507,Human error
Asphalt,Hit parked vehicle,Injury,Dry,1,121.2879822149786,None,2,1,0,06/27/18,14.179363256589,Human error
Concrete,Rear end,Injury,Dry,1,125.19929029162758,None,2,0,0,06/27/18,6.799855216020166,Human error
Concrete,Hit pedestrian,Injury,Dry,0,124.01942892295187,Centerline,1,0,1,06/27/18,8.18804815926493,Human error
Concrete,Hit pedestrian,Injury,Dry,1,124.24360283980134,None,1,0,1,06/27/18,8.224960324690741,Human error
Asphalt,Hit pedestrian,Fatal,Dry,0,126.00976536655568,None,1,0,1,06/27/18,7.7041214198411385,Human error
Concrete,Side swipe,Property,Dry,0,121.06528960750624,Traffic lights,2,0,0,06/27/18,14.558289582583065,Human error
Concrete,Rear end,Fatal,Dry,1,124.78318802888849,None,2,1,0,06/27/18,8.770577272549536,Human error
Concrete,Hit object off road,Fatal,Dry,0,125.16248835585286,Centerline,1,1,0,06/27/18,8.841676802925319,Vehicle defect
Concrete,Side swipe,Injury,Dry,1,120.34726146225978,Centerline,2,0,0,06/28/18,16.05247599965394,Human error
Asphalt,Hit pedestrian,Injury,Dry,1,123.18740446856094,None,1,0,1,06/28/18,13.6054648355375,Human error
Concrete,Side swipe,Injury,Wet,2,121.85682334680942,None,2,0,0,06/28/18,17.038291801832873,Vehicle defect
Concrete,Hit pedestrian,Injury,Dry,0,125.62251413099405,None,1,0,1,06/28/18,7.070437573371378,Human error
Concrete,Right angle,Property,Wet,0,125.60764121895733,None,2,0,0,06/28/18,7.057544964671144,Road defect
Asphalt,Side swipe,Injury,Dry,1,121.55970629419524,Centerline,2,0,0,06/28/18,16.696611405364028,Human error
Asphalt,Head on,Injury,Dry,1,124.83781032483923,None,1,3,0,06/28/18,8.369151413296445,Human error
Concrete,Head on,Injury,Dry,1,123.93890747900406,None,2,0,0,06/28/18,11.08591596248944,Human error
Asphalt,Hit pedestrian,Injury,Dry,0,122.24338544581444,None,1,0,1,06/28/18,10.64378598539789,Human error
Asphalt,Hit object off road,Injury,Dry,1,123.5309797478273,None,1,0,0,06/28/18,8.528161610789828,Human error
Concrete,Side swipe,Injury,Dry,2,120.59662433605011,None,2,0,0,06/28/18,14.939950035941816,Human error
Concrete,Side swipe,Property,Dry,0,125.63422755446797,None,2,0,0,06/28/18,7.086809149172073,Human error
Asphalt,Right angle,Injury,Dry,1,121.04836134949636,None,2,0,0,06/28/18,14.371629411475002,Human error
Concrete,Hit pedestrian,Injury,Dry,0,125.62615604271096,None,1,0,1,06/28/18,7.082733786195201,Human error
Asphalt,Rear end,Property,Dry,0,120.19582919413527,None,2,0,0,06/28/18,14.937940627601765,Human error
Concrete,Right angle,Property,Dry,0,122.08008931977778,Centerline,2,0,0,06/29/18,6.907044349715709,Vehicle defect
Concrete,Right angle,Injury,Dry,1,125.48358491110143,None,2,3,0,06/29/18,7.145102906076386,Human error
Asphalt,Rear end,Property,Dry,0,123.1981722930862,None,2,0,0,06/29/18,13.61973037193547,Human error
Concrete,Head on,Property,Dry,0,124.62767979403563,None,2,0,0,06/29/18,8.50386913671727,Human error
Concrete,Hit pedestrian,Injury,Dry,0,120.59838984385839,School crossing,1,0,1,06/29/18,16.413657001831304,Human error
Concrete,Hit parked vehicle,Injury,Wet,0,121.76075459880518,None,2,1,0,06/29/18,17.592612362033304,Human error
Gravel,Side swipe,Property,Dry,0,125.22932505875102,None,2,0,0,06/29/18,6.764433670261535,Human error
Asphalt,Rear end,Injury,Dry,0,123.30740629678094,None,3,2,0,06/29/18,13.545760475052697,Human error
Concrete,Hit pedestrian,Fatal,Dry,0,126.2184608785452,None,1,0,1,06/29/18,6.949877546578067,Human error
Asphalt,Hit pedestrian,Fatal,Dry,0,125.08384322030966,None,1,0,1,06/30/18,5.907599917711527,Human error
Concrete,Rear end,Property,Dry,0,120.94511768820922,None,2,0,0,06/30/18,14.659963453667217,Human error
Asphalt,Side swipe,Fatal,Dry,2,121.25111650956235,None,2,0,0,06/30/18,16.577069622802988,Human error
Concrete,Rear end,Injury,Dry,1,121.08969324857898,Centerline,2,0,0,06/30/18,16.356275657050862,Human error
Concrete,Head on,Injury,Dry,1,121.40958224539045,None,2,0,0,06/30/18,13.928709622076084,Human error
Asphalt,Side swipe,Property,Dry,0,125.11178318019056,Centerline,2,0,0,06/30/18,8.169516125296727,Human error
Asphalt,Hit object off road,Injury,Wet,1,120.5482014517161,None,1,0,0,06/30/18,16.111135779215005,Human error
Concrete,Side swipe,Property,Dry,0,120.92616788994005,None,2,0,0,06/30/18,14.794618241459185,Human error
Asphalt,Rear end,Property,Dry,0,123.18697203384374,None,2,0,0,07/01/18,13.621934747108728,Human error
Concrete,Hit pedestrian,Injury,Dry,1,124.75020493874935,None,1,0,1,07/01/18,6.606625736579497,Human error
Asphalt,Side swipe,Injury,Dry,2,122.57970782590878,Centerline,2,0,0,07/01/18,7.8404722075960525,Human error
Asphalt,Side swipe,Injury,Dry,0,123.82792483552515,None,2,4,0,07/01/18,12.967459771969482,Human error
Asphalt,Rear end,Injury,Dry,1,120.59613440636655,Police controlled,2,0,0,07/01/18,15.149937863796831,Human error
Asphalt,Hit pedestrian,Property,Dry,0,122.22293215219797,Centerline,1,0,0,07/01/18,10.634667987944614,Human error
Concrete,Hit object off road,Injury,Dry,1,125.35353520567115,None,1,0,0,07/01/18,6.703878139308573,Vehicle defect
Concrete,Hit pedestrian,Injury,Dry,0,124.226135211153,None,1,0,1,07/01/18,13.577470970524146,Human error
Concrete,Side swipe,Property,Dry,0,124.73558534981471,None,2,0,0,07/02/18,8.482955775168518,Human error
Asphalt,Side swipe,Injury,Dry,1,125.49965153096466,None,2,0,0,07/02/18,7.094360643446189,Human error
Concrete,Side swipe,Property,Wet,0,125.66586062146332,None,2,0,0,07/02/18,7.147405097829513,Human error
Asphalt,Hit object in road,Injury,Dry,1,123.5063472981142,None,1,0,0,07/02/18,7.857378032019288,Human error
Concrete,Side swipe,Injury,Dry,0,124.68796523844789,Centerline,1,0,1,07/02/18,9.116027405927879,Human error
Concrete,Rear end,Property,Dry,0,125.34692498945066,None,3,0,0,07/02/18,6.61193218028138,Human error
Concrete,Rear end,Property,Dry,0,124.80308065286205,None,2,0,0,07/02/18,10.689153939559679,Human error
Asphalt,Side swipe,Injury,Dry,1,123.2735774821007,None,2,1,0,07/02/18,13.559103578548138,Human error
Asphalt,Hit object in road,Fatal,Wet,1,122.87775386653325,Centerline,2,5,0,07/02/18,13.783597971491279,Human error
Concrete,Hit parked vehicle,Fatal,Dry,1,125.7015408904671,None,2,4,0,07/02/18,7.337929871684662,Human error
Asphalt,Head on,Fatal,Dry,1,122.3238400527538,None,2,3,0,07/02/18,13.993749154619088,Human error
Asphalt,Right angle,Property,Dry,0,120.59151390965825,Give way,2,0,0,07/02/18,16.415710470974844,Human error
Asphalt,Rear end,Property,Dry,0,124.99679451475778,Centerline,2,0,0,07/02/18,11.162362854120023,Human error
Concrete,Hit parked vehicle,Property,Dry,0,121.06926458348997,None,2,0,0,07/02/18,14.563786400388365,Human error
Asphalt,Right angle,Property,Dry,0,121.00323604011274,Traffic lights,2,0,0,07/03/18,14.582436255866456,Human error
Concrete,Right angle,Property,Dry,0,120.76997554988242,Centerline,2,0,0,07/03/18,16.636573168836293,Human error
